A,B,C,D,E,F,G,Widget Power,QZ
0,0,162,2.5,1040,676,28,79.99,C
0,0,162,2.5,1055,676,28,61.89,C
142.5,0,228,0,932,594,270,40.27,D
142.5,0,228,0,932,594,365,41.05,D
132.4,0,192,0,978.4,825.5,360,44.3,A
114,0,228,0,932,670,90,47.03,A
95,0,228,0,932,594,365,43.7,C
95,0,228,0,932,594,28,36.45,C
114,0,228,0,932,670,28,45.85,A
0,0,228,0,932,594,28,39.29,C
132.4,0,192,0,978.4,825.5,90,38.07,A
132.4,0,192,0,978.4,825.5,28,28.02,A
47.5,0,228,0,932,594,270,43.01,C
190,0,228,0,932,670,90,42.33,B
76,0,228,0,932,670,28,47.81,D
0,0,228,0,932,670,90,52.91,C
209.4,0,192,0,1047,806.9,90,39.36,B
38,0,228,0,932,670,365,56.14,D
95,0,228,0,932,594,90,40.56,C
0,0,228,0,932,594,180,42.62,C
47.5,0,228,0,932,594,180,41.84,C
209.4,0,192,0,1047,806.9,28,28.24,B
209.4,0,192,0,1047,806.9,3,8.06,B
209.4,0,192,0,1047,806.9,180,44.21,B
0,0,228,0,932,670,365,52.52,C
0,0,228,0,932,670,270,53.3,C
95,0,228,0,932,594,270,41.15,C
38,0,228,0,932,670,180,52.12,D
47.5,0,228,0,932,594,28,37.43,C
0,0,228,0,932,594,7,38.6,C
76,0,228,0,932,670,365,55.26,D
114,0,228,0,932,670,365,52.91,A
132.4,0,192,0,978.4,825.5,180,41.72,A
0,0,228,0,932,594,270,42.13,C
190,0,228,0,932,670,365,53.69,B
237.5,0,228,0,932,594,270,38.41,A
237.5,0,228,0,932,594,28,30.08,A
142.5,0,228,0,932,594,90,37.72,D
0,0,228,0,932,594,90,42.23,C
237.5,0,228,0,932,594,180,36.25,A
38,0,228,0,932,670,90,50.46,D
47.5,0,228,0,932,594,365,43.7,C
237.5,0,228,0,932,594,365,39,A
0,0,228,0,932,670,180,53.1,C
47.5,0,228,0,932,594,90,41.54,C
47.5,0,228,0,932,594,7,35.08,C
0,0,192,0,1047,806.9,3,15.05,D
95,0,228,0,932,594,180,40.76,C
237.5,0,228,0,932,594,7,26.26,A
95,0,228,0,932,594,7,32.82,C
142.5,0,228,0,932,594,180,39.78,D
190,0,228,0,932,670,180,46.93,B
237.5,0,228,0,932,594,90,33.12,A
76,0,228,0,932,670,90,49.19,D
209.4,0,192,0,1047,806.9,7,14.59,B
132.4,0,192,0,978.4,825.5,7,14.64,A
0,0,228,0,932,594,365,41.93,C
132.4,0,192,0,978.4,825.5,3,9.13,A
76,0,228,0,932,670,180,50.95,D
142.5,0,228,0,932,594,28,33.02,D
76,0,228,0,932,670,270,54.38,D
114,0,228,0,932,670,270,51.73,A
0,0,192,0,971,850.6,3,9.87,D
190,0,228,0,932,670,270,50.66,B
114,0,228,0,932,670,180,48.7,A
38,0,228,0,932,670,270,55.06,D
209.4,0,192,0,1047,806.9,360,44.7,B
142.5,0,228,0,932,594,7,30.28,D
190,0,228,0,932,670,28,40.86,B
0,0,146,0,1120,800,28,71.99,C
189.2,0,170.1,10.1,926.1,756.7,3,34.4,C
262.2,0,175.5,8.6,1046.9,611.8,3,28.8,D
106.3,0,153.5,16.5,852.1,887.1,3,33.4,C
106.3,0,151.4,18.6,936,803.7,3,36.3,C
93.8,0,126.6,23.4,852.1,992.6,3,29,C
118.8,0,181.1,8.9,852.1,781.5,3,37.8,C
117.2,0,137.8,32.2,852.1,840.5,3,40.2,C
106.3,0,153.5,16.5,852.1,887.1,3,33.4,C
97.1,0,157.9,12.1,852.1,925.7,3,28.1,C
0,0,141.8,28.2,852.1,893.7,3,41.3,C
