Page_total_likes,Type,Category,Post_Month,Post_Weekday,Post_Hour,Paid,Lifetime_Post_Total_Reach,Lifetime_Post_Total_Impressions,Lifetime_Engaged_Users,Lifetime_Post_Consumers,Lifetime_Post_Consumptions,Lifetime_Post_Impressions_by_people_who_have_liked_your_Page,Lifetime_Post_reach_by _people_who_like_your_Page,Lifetime_People_who_have_liked_your_Page_and_engaged_with_your_post,comment,like,share,Total_Interactions
120050,Photo,3,5,4,4,1,4032,7278,684,607,848,4935,2644,432,7,139,34,180
116435,Photo,3,5,4,13,1,5490,9518,647,555,847,6549,3716,476,4,166,33,203
126141,Status,2,6,6,4,0,8628,14847,870,843,1692,11970,6796,774,4,72,18,94
129600,Photo,3,7,2,13,0,4666,8360,729,648,1014,5010,2818,459,9,152,41,202
138353,Status,1,12,3,11,0,16576,30612,3572,3464,4802,24363,12888,3014,4,174,36,214
107907,Photo,1,4,3,4,1,39568,47128,741,652,957,22022,16096,519,4,128,17,149
86491,Link,1,1,4,4,1,4938,7910,66,63,70,6625,3804,59,0,5,2,7
135713,Photo,1,10,4,10,0,8612,20151,813,727,1390,16890,7208,630,7,161,25,193
132201,Photo,2,8,6,10,1,2232,3772,376,322,440,2205,1306,257,2,74,22,98
119198,Photo,3,5,6,6,0,2812,4954,536,485,672,3382,1853,323,4,79,16,99
85979,Photo,3,1,7,2,0,4800,7754,975,938,1278,4932,2820,432,1,74,28,103
117764,Photo,3,5,1,13,1,4458,7753,491,432,676,5493,3106,340,6,101,29,136
116435,Photo,2,5,2,14,0,4132,7165,552,495,713,4908,2754,398,2,98,18,118
138414,Photo,3,12,1,11,0,1591,2825,121,88,111,2116,1161,100,0,34,8,42
133679,Photo,3,8,1,10,0,19648,33643,1359,695,990,24034,13528,1020,9,766,43,818
102112,Photo,1,3,3,10,0,4122,7073,466,455,609,5827,3302,361,1,27,11,39
85979,Photo,3,1,1,12,0,5034,8030,1020,993,1243,5340,3094,440,2,56,25,83
120050,Photo,3,5,4,12,0,39040,55633,1684,1183,2123,32021,19712,1101,16,617,58,691
133679,Photo,2,8,1,4,0,2295,3721,377,324,402,3121,1882,269,0,63,7,70
137177,Photo,3,11,5,10,1,2938,5799,321,243,379,3668,1848,236,2,101,19,122
86909,Photo,2,1,4,11,0,11484,20696,1762,1635,2741,8774,5124,722,56,360,99,515
136393,Photo,1,10,6,13,0,645,1117,195,192,224,989,554,166,0,4,1,5
137020,Photo,1,10,4,9,1,1357,2453,37,37,55,2154,1120,32,0,0,0,0
116091,Photo,2,5,7,14,0,5206,8962,565,492,878,6461,3708,414,1,144,29,174
136013,Photo,1,10,1,10,1,5324,11040,528,483,861,8627,4054,448,6,76,14,96
138185,Photo,1,11,6,11,0,2168,3891,211,168,202,2873,1539,171,0,53,17,70
129600,Photo,3,7,1,6,0,3406,5656,571,512,731,4446,2598,355,1,98,19,118
123047,Photo,3,6,1,10,0,56672,104966,2579,1334,1850,78678,37408,1831,20,1372,47,1439
136013,Photo,1,10,2,3,1,50736,140432,1462,1450,8308,46252,15552,1275,3,41,9,53
85979,Photo,3,1,6,3,1,6184,10228,956,901,1140,6085,3502,437,1,105,46,152
137177,Photo,3,11,3,10,0,4012,7955,550,319,477,4625,2218,403,3,270,38,311
86491,Photo,3,1,2,7,0,5040,8367,1062,1023,1348,5485,3068,437,2,82,24,108
136736,Status,2,10,7,3,0,13872,27468,2664,2570,3395,20198,10432,2252,4,217,50,271
116091,Photo,2,5,1,3,0,5976,10441,689,544,833,7055,4046,487,2,267,40,309
138329,Photo,1,11,6,10,0,2425,4462,260,213,433,3017,1510,175,4,66,13,83
133594,Photo,2,8,7,10,1,3934,6330,512,437,599,5010,3082,384,3,113,17,133
137020,Photo,2,10,4,3,0,68896,104952,2624,1326,1952,35707,19840,1354,26,1505,95,1626
137177,Photo,1,11,4,9,1,2566,5244,384,280,469,3834,1806,266,10,140,8,158
100732,Photo,1,3,6,17,0,452,726,186,184,889,721,450,114,0,4,1,5
136013,Link,1,10,4,3,0,68992,229733,1032,975,1345,17842,8032,635,15,143,44,202
138895,Photo,3,12,2,9,0,3002,5318,268,185,247,3039,1676,194,4,98,23,125
124940,Photo,1,6,7,4,0,8324,14480,840,834,1388,13786,7736,662,0,14,1,15
126424,Status,2,7,3,13,0,18320,31448,3742,3682,7854,25584,14920,3300,36,98,14,148
100732,Photo,1,3,6,10,0,122944,457509,1373,1268,2106,72846,13184,475,0,136,13,149
135195,Status,2,9,1,10,0,21256,41906,4840,4754,5906,35455,17592,4318,38,163,27,228
107907,Photo,3,4,1,3,0,4552,7253,471,444,569,4440,2664,316,1,52,24,77
136013,Photo,1,10,4,10,1,4018,8617,428,374,616,6677,2992,351,4,77,19,100
139441,Photo,2,12,4,3,0,2752,5091,178,109,159,3078,1640,119,4,79,17,100
138185,Photo,1,11,3,2,1,50912,164528,630,513,952,54653,12704,346,8,144,10,162
92400,Photo,1,2,1,4,0,5880,10115,1291,1264,1878,8536,4884,706,5,79,11,95
117764,Photo,3,5,5,13,0,81856,124753,3000,1637,2718,52477,27392,1756,45,1639,122,1806
137893,Photo,1,11,6,3,0,3102,5939,360,288,512,3537,1780,275,7,84,28,119
134879,Photo,3,9,3,2,1,4260,7989,588,435,622,4578,2432,436,1,226,44,271
129600,Photo,2,7,4,12,1,3726,6372,602,574,785,4760,2852,399,30,47,8,85
133594,Photo,2,8,5,13,0,1920,3124,365,331,428,2541,1519,251,1,52,7,60
109670,Photo,1,4,2,13,0,3334,5953,584,565,842,4954,2604,440,4,37,3,44
119198,Status,2,5,1,2,0,10152,17099,1636,1599,2755,15382,8980,1613,2,55,10,67
132817,Photo,3,8,2,10,0,72864,205934,946,759,1158,122474,30912,646,4,220,19,243
104070,Photo,1,3,4,7,0,49632,1110282,1653,1480,2567,1107833,48368,1513,7,227,15,249
137059,Photo,1,11,2,3,0,24720,37240,845,564,850,14475,8120,504,13,331,77,421
136393,Photo,1,10,7,8,0,619,1096,257,254,292,951,516,217,1,1,2,4
138329,Photo,1,11,7,3,0,2935,5439,237,182,401,3901,2044,201,4,64,19,87
134879,Video,1,9,2,10,0,30624,56950,2080,1956,3253,32033,15744,1376,6,345,121,472
135700,Photo,3,9,2,2,0,2656,4862,390,309,445,3273,1722,309,1,115,21,137
81370,Photo,1,1,5,2,0,3778,7216,625,572,795,4742,2388,363,4,93,18,115
131630,Photo,2,7,3,13,0,3504,5699,444,374,497,4487,2730,348,9,102,19,130
137059,Photo,1,10,6,3,0,1101,2548,324,287,2418,1284,704,220,3,51,11,65
138895,Photo,1,12,7,10,1,19800,28663,479,424,805,5187,2752,248,16,76,8,100
116435,Photo,1,5,2,8,0,4910,9209,625,561,869,5768,2812,411,12,138,38,188
91758,Photo,2,2,5,3,1,15880,51571,1188,1071,1410,47976,13560,677,1,200,37,238
137020,Photo,3,10,1,11,0,3674,7221,452,330,487,3832,1890,328,9,181,32,222
136393,Link,1,10,5,10,0,4664,9463,204,182,251,7196,3324,173,0,32,16,48
130791,Photo,3,7,5,3,0,19968,35161,1016,592,909,26701,14792,757,6,535,83,624
125612,Photo,3,6,1,3,0,2763,4388,564,523,650,3519,2124,375,0,62,10,72
136393,Photo,1,10,6,9,0,3906,8239,868,863,2632,7736,3768,774,0,7,3,10
129600,Photo,2,7,2,7,1,4274,7948,701,638,1020,5936,3164,460,0,128,15,143
131808,Status,2,8,6,10,1,20168,35904,3370,3244,5106,26881,15056,2806,18,332,54,404
92507,Photo,3,2,1,13,0,55520,665792,4544,3586,6624,648611,47488,3430,146,1546,181,1873
113028,Link,1,4,5,7,1,35360,45260,339,325,477,9105,5472,156,7,38,11,56
123047,Photo,3,6,2,13,0,3418,5659,581,546,770,4491,2620,327,2,51,6,59
125612,Photo,1,6,2,2,0,11620,21564,1160,1138,2042,20024,10568,920,5,54,7,66
136393,Photo,1,10,7,10,0,786,1573,263,257,318,1401,660,222,0,6,2,8
121540,Photo,3,6,1,3,0,3110,5405,732,712,892,4605,2540,342,2,33,10,45
102112,Link,3,3,1,3,0,6876,10885,282,245,337,9403,5752,259,2,68,15,85
135428,Photo,2,9,5,3,1,2790,4879,435,360,513,3501,1999,351,0,113,19,132
128032,Photo,1,7,6,3,0,7232,12735,758,700,1236,8855,4712,471,2,75,24,101
124940,Photo,1,6,6,12,1,52736,73584,1635,1622,2824,18580,10144,876,0,24,4,28
136013,Photo,1,10,5,8,0,1080,2427,210,189,249,2195,934,184,4,32,3,39
139441,Status,2,12,3,10,0,10460,19057,1457,1361,1674,11710,6112,1108,5,130,29,164
