age,balance,purchases,estimated_salary,country,id
42,0,1,101348.88,France,15634602
42,159660.8,1,113931.57,France,15619304
43,125510.82,0,79084.1,Spain,15737888
44,113755.78,1,149756.71,Spain,15574012
29,115046.74,1,119346.88,Germany,15656148
44,142051.07,0,74940.5,France,15792365
34,0,0,26260.98,France,15632264
58,132602.88,1,5097.67,Germany,15737452
41,0,0,170886.17,France,15577657
38,0,1,118913.53,Spain,15699309
,0,0,187616.16,France,15625047
43,141349.43,0,100187.43,Germany,15728693
39,0,1,140469.38,Spain,15589475
41,110112.54,0,81898.81,Germany,15750181
45,134264.04,1,27822.99,France,15794171
31,145260.23,0,114066.77,Spain,15788448
40,0,0,70154.22,Spain,15619360
51,122522.32,1,181297.65,France,15738148
49,131394.56,1,194365.76,France,15755196
61,155931.11,0,158338.39,Spain,15684171
27,112045.67,1,119708.21,Germany,15602280
39,137843.8,1,117622.8,Germany,15771573
38,103391.38,0,90878.13,Germany,15766205
33,0,0,116978.19,France,15683553
41,125561.97,1,164040.94,Germany,15702298
,98495.72,1,40014.76,Germany,15569590
45,127864.4,0,87107.57,France,15630053
66,0,1,1643.11,Spain,15623944
35,136857,0,84509.57,Germany,15651280
26,109166.37,0,92840.67,Germany,15592461
35,150725.53,0,113656.85,Germany,15638424
58,133745.44,1,28373.86,Germany,15703793
37,163607.18,0,44203.55,Spain,15812518
55,0,0,139161.64,France,15614049
34,96645.54,0,171413.66,France,15706021
32,0,1,136458.19,France,15663706
46,0,0,1907.66,France,15738751
22,121681.82,1,128643.35,Spain,15762418
46,0,1,93251.42,France,15622897
44,0,1,174205.22,Spain,15757535
36,0,0,109614.57,France,15809248
41,102827.44,0,64595.25,Spain,15738721
40,0,0,161848.03,France,15808582
65,0,1,177655.68,Spain,15804919
46,107073.27,1,30984.59,Spain,15613854
33,150092.8,0,71862.79,Spain,15602312
35,92833.89,1,99449.86,Germany,15744689
42,100238.35,0,86797.41,France,15715951
28,154475.54,1,101300.94,Germany,15609618
37,167864.4,0,115638.29,Germany,15705512
31,107818.63,1,199725.39,Germany,15661670
34,129433.34,0,38131.77,France,15682472
28,0,0,183646.41,France,15779659
42,152603.45,1,110265.24,France,15627360
52,0,1,8636.05,France,15671137
56,148507.24,1,46824.08,Germany,15782688
41,0,0,171378.77,France,15575492
38,122570.87,0,35608.88,France,15677871
34,63663.93,0,167784.28,Germany,15802381
48,213146.2,1,75161.25,Spain,15594408
35,129490.36,1,8590.83,Spain,15640905
44,137452.09,0,189543.9,Germany,15698932
52,0,1,159123.82,Spain,15713483
31,40915.55,1,126213.84,France,15612350
44,120681.63,0,74836.34,France,15703264
48,0,1,149892.79,France,15759618
42,0,0,180800.42,Spain,15811589
,0,1,17941.16,Spain,15679145
33,0,0,82996.47,France,15655007
22,101060.25,0,84699.56,Spain,15692132
29,133702.89,1,55582.54,Spain,15658929
24,113034.22,1,162503.48,Germany,15724623
39,0,1,40721.24,Spain,15574692
44,129608.57,1,5472.7,Germany,15651022
30,0,0,130553.47,France,15645248
55,161608.81,1,8080.85,Germany,15625426
45,122311.21,0,19482.5,Spain,15716334
50,0,1,8546.87,France,15719377
30,0,0,196108.51,Spain,15726676
