Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
M,18,1817.96,Low,Working,Sales staff,Semi-Urban,150568.58,550.98,N,Y,5,,0,Unpossessed,517,1817.96,4,Semi-Urban,1,165773.78,105398.01
F,65,,High,Pensioner,,Semi-Urban,197089.8,605.66,N,Y,2,795.98,0,Active,10,,3,Semi-Urban,1,318982.47,147817.35
F,54,3496.84,Low,Working,Drivers,Semi-Urban,80433.21,476.15,Y,N,4,691.41,0,Inactive,140,3496.84,1,Rural,1,136536.16,52281.59
M,30,3858.37,Low,Working,Medicine staff,Semi-Urban,182282.13,-999,N,Y,1,845.99,1,Active,633,3858.37,4,Urban,1,282711.07,127597.49
M,36,1940.35,Low,Working,Sales staff,Semi-Urban,39822.54,285.77,N,N,2,793.82,0,Inactive,24,1940.35,1,Semi-Urban,0,54951.64,0
M,58,3204.55,Low,Working,Laborers,Rural,70140.21,285.46,N,Y,2,756.57,1,Active,786,3204.55,1,Rural,1,99158.59,56112.17
M,56,1563.02,,Working,,Semi-Urban,49625.35,267.48,N,Y,2,716.32,0,Unpossessed,366,1563.02,3,Semi-Urban,1,-999,32256.48
F,43,2639.91,Low,Commercial associate,,Semi-Urban,96344.36,292.64,Y,N,3,806.4,1,Unpossessed,969,2639.91,4,Semi-Urban,1,108754.71,77075.49
F,27,2259.36,Low,Working,IT staff,Semi-Urban,13634.93,135.37,N,N,2,787.69,0,Active,18,2259.36,3,Semi-Urban,1,16407.82,10226.2
F,19,2127.66,Low,Commercial associate,Accountants,Rural,35100.79,229.06,N,N,1,778.71,0,Unpossessed,42,2127.66,1,Urban,1,51937.15,24570.55
F,60,2820.56,,Working,,Semi-Urban,145424.9,501.1,N,Y,3,,0,Inactive,58,2820.56,3,Semi-Urban,1,201734.96,109068.67
F,61,1378.34,High,Pensioner,,Semi-Urban,34190.88,120.24,N,Y,1,811.52,1,,663,1378.34,1,Urban,1,64213.73,0
F,50,,Low,Working,,Urban,12380.21,155.66,N,Y,3,658.81,0,Active,416,,3,Urban,1,20292.9,8047.14
M,31,2062,Low,State servant,Laborers,Semi-Urban,61962.84,564.76,Y,Y,3,803.2,0,Inactive,924,2062,4,Rural,1,76620.07,43373.99
F,53,,Low,Working,Core staff,Rural,21335.91,111.72,N,Y,2,731.97,0,Inactive,527,,2,Semi-Urban,1,38084.71,13868.34
M,45,5099.74,Low,Working,Laborers,Semi-Urban,130124.73,487.24,Y,Y,2,661.91,0,Unpossessed,382,5099.74,1,Urban,1,146244.92,0
F,19,1614.68,Low,Working,High skill tech staff,Semi-Urban,78883.07,360.87,N,Y,2,779.6,0,Active,954,1614.68,4,Rural,1,132746.61,-999
